date,spx,vix_close,mquslva,lev_active,mq_ret
2005-01-03,1202.08,14.08,100.0,1.0,0.0
2005-01-04,1188.05,13.98,98.8090468584612,1.0,-0.011909531415387954
2005-01-05,1183.74,14.09,98.42706208261762,1.0,-0.0038658886811321134
2005-01-06,1187.89,13.58,98.74869634626113,1.0,0.0032677421924217844
2005-01-07,1186.19,13.49,98.58386460963345,2.5945144551519643,-0.0016692041791588129
2005-01-10,1190.25,13.23,99.41713352213101,2.5945144551519643,0.008452386359543618
2005-01-11,1182.99,13.19,97.80127581638324,2.5945144551519643,-0.016253312165634654
2005-01-12,1187.7,12.56,98.7697018116029,2.5945144551519643,0.009901977117740737
2005-01-13,1177.45,12.84,96.51588550499787,2.5945144551519643,-0.022818903623947888
2005-01-14,1184.52,12.43,97.97818291053287,2.815768302493966,0.015150846908608342
2005-01-18,1195.98,12.47,100.6027980852529,2.815768302493966,0.026787751076345977
2005-01-19,1184.63,13.18,97.86879109206497,2.815768302493966,-0.027176252005148747
2005-01-20,1175.41,13.83,95.67952088886979,2.815768302493966,-0.022369441563202114
2005-01-21,1167.87,14.36,93.90784228251758,2.4373259052924787,-0.018516800563936515
2005-01-24,1163.75,14.65,93.06195995599347,2.4373259052924787,-0.009007579196413798
2005-01-25,1168.41,14.06,93.93214232860785,2.4373259052924787,0.009350570018360791
2005-01-26,1174.07,13.44,95.00274934757284,2.4373259052924787,0.011397664233182583
2005-01-27,1174.55,13.24,95.05854035678412,2.4373259052924787,0.0005872567856660646
2005-01-28,1171.36,13.24,94.39039087500625,2.6435045317220545,-0.0070288211797709475
2005-01-31,1181.27,12.82,96.46046296891309,2.6435045317220545,0.021930962195591253
2005-02-01,1189.41,12.03,98.17575617662828,2.6435045317220545,0.017782344754741573
2005-02-02,1193.19,11.66,98.95796455783623,2.6435045317220545,0.00796742914615977
2005-02-03,1189.89,11.79,98.19154713051125,2.6435045317220545,-0.007744878653774698
2005-02-04,1203.03,11.21,101.01539555101411,3.0,0.02875856937817194
2005-02-07,1201.72,11.73,100.63730079155467,3.0,-0.003742941928772516
2005-02-08,1202.3,11.6,100.73509349502297,3.0,0.0009717341651567663
2005-02-09,1191.99,12.0,98.09564437144186,3.0,-0.026201882899046527
2005-02-10,1197.01,11.51,99.28830531249199,3.0,0.012158143704465371
2005-02-11,1205.3,11.43,101.30391532936076,3.0,0.020300578306025094
2005-02-14,1206.14,11.52,101.46747812968178,3.0,0.0016145753082617434
2005-02-15,1210.12,11.27,102.42362219356767,3.0,0.009423157858164987
2005-02-16,1210.34,11.1,102.43071093040739,3.0,6.920997996266828e-05
2005-02-17,1200.75,11.77,99.94713793637663,3.0,-0.02424637075611165
2005-02-18,1201.59,11.18,100.10930195215333,3.0,0.001622497843609503
2005-02-22,1184.16,13.14,95.70514037331013,3.0,-0.04399353000131941
2005-02-23,1190.8,12.39,97.26952325636316,3.0,0.0163458605979883
