date,nav,nav_unit,live,total,invested,coupons,mquslva,ret
2020-09-18,17.436219229807215,1.162414615320481,15,15,15,0.28659999999999997,119.78959563060778,0.0254796135991342
2020-09-21,17.643923221805398,1.1762615481203598,15,15,15,0.28659999999999997,117.87782687807595,0.011912214985408731
2020-09-22,17.727066136959692,1.181804409130646,15,15,15,0.28659999999999997,119.52476821461984,0.004712269154036219
2020-09-23,18.090884108474423,1.2060589405649615,15,15,15,0.28659999999999997,115.64939363036495,0.020523304234545403
2020-09-24,18.119276323496173,1.207951754899745,15,15,15,0.28659999999999997,116.08511651429878,0.001569421088074563
2020-09-25,18.712681334808366,1.1695425834255229,16,16,16,0.28659999999999997,118.5656664698032,-0.03179694165634117
2020-09-28,18.220311832437716,1.1387694895273572,16,16,16,0.28659999999999997,121.06715059358915,-0.026312076476970203
2020-09-29,18.490508229002565,1.1556567643126603,16,16,16,0.28659999999999997,120.260575898348,0.014829405723112643
2020-09-30,18.10488141466971,1.1315550884168568,16,16,16,0.4776666666666669,121.5442033917582,-0.020855392916025783
2020-10-01,17.834060928041655,1.1146288080026034,16,16,16,0.4776666666666669,122.36406982172352,-0.014958423666261544
2020-10-02,19.703983465056258,1.1590578508856622,17,17,17,0.4776666666666669,120.77622852789045,0.03985994491087563
2020-10-05,18.598459986461336,1.0940270580271374,17,17,17,0.4776666666666669,123.49374948244783,-0.05610659796560913
2020-10-06,19.13133898194726,1.1253728812910153,17,17,17,0.4776666666666669,121.27221711384209,0.028651780624515677
2020-10-07,18.604230264876588,1.094366486169211,17,17,17,0.4776666666666669,123.91337415024472,-0.027552107961082206
2020-10-08,18.319509715765562,1.077618218574445,17,17,17,0.4776666666666669,125.13678347465545,-0.015304075742846202
2020-10-09,19.362635471770556,1.0757019706539197,18,18,18,0.4776666666666669,126.4964766264858,-0.0017782252447997582
2020-10-12,19.38183684775278,1.0767687137640434,18,18,18,0.4776666666666669,129.36800788310896,0.000991671614652967
2020-10-13,19.373951502262315,1.076330639014573,18,18,18,0.4776666666666669,128.1887686418117,-0.0004068420115392879
2020-10-14,19.365758543984583,1.0758754746658101,18,18,18,0.4776666666666669,126.96352646122494,-0.0004228852475849365
2020-10-15,19.363700073049586,1.0757611151694215,18,18,18,0.4776666666666669,126.65568583375315,-0.00010629436127274072
2020-10-16,20.397651828174546,1.0735606225355023,19,19,19,0.4776666666666669,126.6434236476069,-0.0020455216338365334
2020-10-19,21.244668912479803,1.1181404690778844,19,19,19,0.4776666666666669,123.96837097094175,0.041525225130831345
2020-10-20,20.96627295685183,1.1034880503606228,19,19,19,0.4776666666666669,124.68307704193762,-0.01310427367801592
2020-10-21,21.25391433298774,1.1186270701572496,19,19,19,0.4776666666666669,124.29970880209484,0.013719242171837953
2020-10-22,20.974843756520627,1.103939145080033,19,19,19,0.4776666666666669,125.09436226639173,-0.013130314355034978
2020-10-23,22.019640901718756,1.1009820450859378,20,20,20,0.4776666666666669,125.61086312757344,-0.002678680258123234
2020-10-26,22.810531919608426,1.1405265959804214,20,20,20,0.4776666666666669,122.61042645094633,0.035917525695341235
2020-10-27,23.08114934600923,1.1540574673004615,20,20,20,0.4776666666666669,122.10599831086407,0.011863705211020203
2020-10-28,24.729950159136603,1.23649750795683,20,20,20,0.4776666666666669,116.59893726205873,0.07143495275777734
2020-10-29,24.317475744698896,1.2158737872349448,20,20,20,0.4776666666666669,118.33716848884701,-0.016679144591212003
2020-10-30,25.929343739882505,1.2347306542801193,21,21,21,0.7284416666666662,116.48166252790895,0.015508901699458066
2020-11-02,25.490424912560535,1.2138297577409778,21,21,21,0.7284416666666662,117.77590160113567,-0.016927494645645802
2020-11-03,25.350447262571805,1.207164155360562,21,21,21,0.7284416666666662,119.67878819626914,-0.005491381586179678
2020-11-04,24.325713152667948,1.158367292984188,21,21,21,0.7284416666666662,122.080401791398,-0.04042272309005002
2020-11-05,23.837028242234357,1.1350965829635409,21,21,21,0.7284416666666662,124.23949043302028,-0.020089232630780662
2020-11-06,24.868950180581354,1.1304068263900615,22,22,22,0.7284416666666662,124.17817850199968,-0.0041315925392315656
2020-11-09,24.333067967859172,1.1060485439935988,22,22,22,0.7284416666666662,126.18805347874027,-0.021548244249595117
2020-11-10,24.327231812716693,1.1057832642143952,22,22,22,0.7284416666666662,125.90319491185733,-0.0002398446077652716
2020-11-11,23.748695328789267,1.0794861513086031,22,22,22,0.7284416666666662,127.22345604964822,-0.023781435075774016
2020-11-12,24.61368027687337,1.1188036489487896,22,22,22,0.7284416666666662,125.39966855919356,0.036422419678588724
2020-11-13,24.78629841164601,1.077665148332435,23,23,23,0.7284416666666662,127.76660805086443,-0.03677008084037581
2020-11-16,24.51121791666667,1.0657051268115942,23,23,23,0.7284416666666662,129.98324819234278,-0.011098086951543018
2020-11-17,24.794407475758128,1.07801771633731,23,23,23,0.7284416666666662,129.000579377515,0.011553467479839208
2020-11-18,25.07605229403329,1.0902631432188385,23,23,23,0.7284416666666662,126.70173990419096,0.011359207456380194
2020-11-19,25.085826346278903,1.0906881020121262,23,23,23,0.7284416666666662,127.42140608741819,0.0003897763543880828
2020-11-20,26.691091405515653,1.1121288085631522,24,24,24,0.7284416666666662,126.07186659710625,0.019657963180740534
2020-11-23,26.1152776630811,1.0881365692950458,24,24,24,0.7284416666666662,127.08400025752444,-0.021573255798583157
2020-11-24,25.54525166666667,1.0643854861111113,24,24,24,0.7284416666666662,130.07970811152154,-0.021827299857518523
2020-11-25,25.54525166666667,1.0643854861111113,24,24,24,0.7284416666666662,129.73698574233478,0.0
2020-11-27,26.579285416666668,1.0631714166666668,25,25,25,0.7284416666666662,130.15797016914442,-0.0011406294620572854
2020-11-30,27.446986450975334,1.0978794580390134,25,25,25,1.0269833333333322,129.1118988131325,0.03264576231852234
2020-12-01,26.877827083333337,1.0751130833333336,25,25,25,1.0269833333333322,131.51473852805603,-0.020736679731984675
2020-12-02,26.877827083333337,1.0751130833333336,25,25,25,1.0269833333333322,131.86840625010637,0.0
2020-12-03,26.877827083333337,1.0751130833333336,25,25,25,1.0269833333333322,131.68811386088123,0.0
2020-12-04,27.911860833333336,1.0735331089743592,26,26,26,1.0269833333333322,133.60037572830507,-0.0014695889980947952
2020-12-07,28.21287249878897,1.0851104807226526,26,26,26,1.0269833333333322,133.1223478715786,0.010784363939510211
2020-12-08,27.911860833333336,1.0735331089743592,26,26,26,1.0269833333333322,133.70445011334797,-0.010669302300520767
2020-12-09,28.20449336874366,1.0847882064901406,26,26,26,1.0269833333333322,131.87243309437855,0.010484164318447897
2020-12-10,28.202298329990093,1.084703781922696,26,26,26,1.0269833333333322,131.54499917704226,-7.782585295412758e-05
2020-12-11,29.234172414829327,1.0827471264751602,27,27,27,1.0269833333333322,131.22284193832542,-0.0018038615520150625
2020-12-14,29.526239775162576,1.0935644361171324,27,27,27,1.0269833333333322,130.32485206145935,0.009990614962135602
2020-12-15,29.244842530887784,1.0831423159588067,27,27,27,1.0269833333333322,132.81450308498225,-0.009530412487928963
2020-12-16,29.246947455447124,1.0832202761276712,27,27,27,1.0269833333333322,133.12849466852168,7.19759238614337e-05
2020-12-17,28.945894583333335,1.0720701697530866,27,27,27,1.0269833333333322,134.2397588851485,-0.010293480116938425
2020-12-18,30.28341860153121,1.0815506643404003,28,28,28,1.0269833333333322,133.49208102735807,0.008843166104973488
2020-12-21,30.575726714671674,1.0919902398097026,28,28,28,1.0269833333333322,132.60427279111994,0.009652414642701057
2020-12-22,30.56918833428176,1.0917567262243486,28,28,28,1.0269833333333322,132.11680543746957,-0.00021384219092901446
2020-12-23,30.57077957854759,1.0918135563766997,28,28,28,1.0269833333333322,132.23544026521265,5.20538605222054e-05
2020-12-24,30.580404065015795,1.0921572880362784,28,28,28,1.0269833333333322,132.9529915040692,0.00031482633419521733
2020-12-28,29.979928333333337,1.0707117261904764,28,28,28,1.0269833333333322,134.7966616734036,-0.019635964600265177
2020-12-29,29.979928333333337,1.0707117261904764,28,28,28,1.0269833333333322,134.26644409467033,0.0
2020-12-30,29.979928333333337,1.0707117261904764,28,28,28,1.0269833333333322,134.5172934085475,0.0
2020-12-31,30.314295,1.082653392857143,28,28,28,1.361350000000001,135.88326909531784,0.011153017543904298
2021-01-04,30.900385904491042,1.10358521087468,28,28,28,1.361350000000001,132.75770050228294,0.019333812793305594
2021-01-05,30.314295,1.082653392857143,28,28,28,1.361350000000001,134.16413782448507,-0.01896710631066445
2021-01-06,30.314295,1.082653392857143,28,28,28,1.361350000000001,135.30215354099067,0.0
2021-01-07,30.314295,1.082653392857143,28,28,28,1.361350000000001,138.3518507017248,0.0
2021-01-08,31.348328750000004,1.080976853448276,29,29,29,1.361350000000001,139.47898458615768,-0.0015485467647614604
2021-01-11,31.642735030808797,1.0911287941658205,29,29,29,1.361350000000001,137.9512419018749,0.009391450598743356
2021-01-12,31.643056356183084,1.091139874351141,29,29,29,1.361350000000001,138.00128308755802,1.015479142307818e-05
2021-01-13,31.64605314017956,1.0912432117303297,29,29,29,1.361350000000001,138.46798331237608,9.470589574989141e-05
2021-01-14,31.640357752502926,1.091046819051825,29,29,29,1.361350000000001,137.5810195831793,-0.00017997150075577117
2021-01-15,32.66380401918393,1.088793467306131,30,30,30,1.361350000000001,135.93219175606848,-0.0020653116863053045
2021-01-19,32.673762896982446,1.0891254298994149,30,30,30,1.361350000000001,137.48312452698707,0.0003048903242459655
2021-01-20,32.3823625,1.0794120833333334,30,30,30,1.361350000000001,140.19822353009926,-0.00891848294000308
2021-01-21,32.3823625,1.0794120833333334,30,30,30,1.361350000000001,140.22138616900523,0.0
2021-01-22,33.416396250000005,1.0779482661290325,31,31,31,1.361350000000001,139.57365549139024,-0.0013561245301058067
2021-01-25,33.416396250000005,1.0779482661290325,31,31,31,1.361350000000001,140.3366801172116,0.0
2021-01-26,33.416396250000005,1.0779482661290325,31,31,31,1.361350000000001,139.9595179475122,0.0
2021-01-27,34.24877162476037,1.1047990846696893,31,31,31,1.361350000000001,134.1752480637067,0.024909190342760512
2021-01-28,33.982457049255835,1.0962082919114786,31,31,31,1.361350000000001,136.2258340297001,-0.0077758869258831576
2021-01-29,36.17071091837127,1.1303347161991022,32,32,32,1.7434833333333366,131.98127328929462,0.03113133201001128
2021-02-01,35.64864122796833,1.1140200383740102,32,32,32,1.7434833333333366,134.18975517610835,-0.01443349265600924
2021-02-02,35.38617296527052,1.1058179051647037,32,32,32,1.7434833333333366,136.12953453835047,-0.0073626442314970175
2021-02-03,35.38758570045408,1.10586205313919,32,32,32,1.7434833333333366,136.24144221687166,3.9923367382899144e-05
2021-02-04,35.40690874882054,1.106465898400642,32,32,32,1.7434833333333366,137.77208823588353,0.0005460403128381142
2021-02-05,36.4476863954492,1.1044753453166425,33,33,33,1.7434833333333366,138.30629579628086,-0.0017990189185917993
2021-02-08,35.86659708333334,1.0868665782828284,33,33,33,1.7434833333333366,139.9784694065499,-0.01594310557359324
2021-02-09,35.86659708333334,1.0868665782828284,33,33,33,1.7434833333333366,139.6724644942939,0.0
2021-02-10,36.16467494975365,1.095899240901626,33,33,33,1.7434833333333366,139.547102004753,0.008310737306016502
2021-02-11,35.86659708333334,1.0868665782828284,33,33,33,1.7434833333333366,139.89168865596372,-0.008242238229279275
2021-02-12,36.90063083333334,1.0853126715686277,34,34,34,1.7434833333333366,140.9523265131437,-0.001429712482884371
2021-02-16,37.20366000260524,1.0942252941942718,34,34,34,1.7434833333333366,140.76550525381734,0.008212032218109622
2021-02-17,37.20286463672907,1.0942019010802666,34,34,34,1.7434833333333366,140.6403315810454,-2.1378699733398676e-05
2021-02-18,37.49347284621086,1.102749201359143,34,34,34,1.7434833333333366,139.50579059478676,0.007811447110846581
2021-02-19,38.81644658289984,1.1090413309399956,35,35,35,1.7434833333333366,139.00655027997107,0.005705857300189132
2021-02-22,39.37362494445434,1.1249607126986956,35,35,35,1.7434833333333366,137.25751757169394,0.014354182585068376
2021-02-23,39.381006825744734,1.1251716235927067,35,35,35,1.7434833333333366,137.48894687718257,0.000187482897518354
2021-02-24,38.23234639385917,1.092352754110262,35,35,35,1.7434833333333366,139.92394471680717,-0.02916787874338056
2021-02-25,39.57248812477477,1.1306425178507078,35,35,35,1.7434833333333366,134.4440578451213,0.035052563008030724
2021-02-26,41.53423712180321,1.1537288089389781,36,36,36,2.173383333333336,133.38894654629678,0.020418736005219484
2021-03-01,40.81106298600177,1.1336406385000493,36,36,36,2.173383333333336,137.32705178884362,-0.017411518446352137
2021-03-02,41.058400412464785,1.1405111225684663,36,36,36,2.173383333333336,135.9006015595255,0.006060548497544671
2021-03-03,40.973127125495026,1.1381424201526396,36,36,36,2.173383333333336,133.64056142956787,-0.0020768779619547706
2021-03-04,42.004837790573404,1.16680104973815,36,36,36,2.173383333333336,131.3593647091666,0.02518017875273193
2021-03-05,42.04076147094793,1.136236796512106,37,37,37,2.173383333333336,134.53109464122875,-0.026194914062601438
2021-03-08,42.86945958922846,1.1586340429521207,37,37,37,2.173383333333336,133.46904700182353,0.01971177707742533
2021-03-09,41.806989656435114,1.129918639363111,37,37,37,2.173383333333336,136.11196980570574,-0.02478384245973364
2021-03-10,41.84229521318448,1.1308728435995805,37,37,37,2.173383333333336,137.23772245845794,0.0008444893315568969
2021-03-11,41.30085832471186,1.1162394141814016,37,37,37,2.173383333333336,139.223047019795,-0.01293994236487328
2021-03-12,42.337887567526515,1.1141549359875398,38,38,38,2.173383333333336,139.38359144525526,-0.0018674113880761123
2021-03-15,41.764394642502204,1.0990630169079527,38,38,38,2.173383333333336,140.86964546288846,-0.013545619726766489
2021-03-16,41.76177541759411,1.098994089936687,38,38,38,2.173383333333336,140.45044855385746,-6.27143031886046e-05
2021-03-17,41.46666583333334,1.091228048245614,38,38,38,2.173383333333336,141.08955057951042,-0.007066499958630734
2021-03-18,43.17747668221217,1.1362493863740046,38,38,38,2.173383333333336,137.52141509443652,0.04125749718472882
2021-03-19,44.20454677202778,1.1334499172314816,39,39,39,2.173383333333336,137.33712959905898,-0.0024637805538947344
2021-03-22,43.96174467669676,1.127224222479404,39,39,39,2.173383333333336,138.90531975522842,-0.005492695052009222
2021-03-23,44.497827844557925,1.1409699447322545,39,39,39,2.173383333333336,137.09033438282182,0.0121943105716944
2021-03-24,44.73181258162316,1.1469695533749529,39,39,39,2.173383333333336,135.79457656838787,0.0052583406516515385
2021-03-25,44.491176711679955,1.1407994028635886,39,39,39,2.173383333333336,136.94022545396706,-0.0053795242368976925
2021-03-26,43.83141182795222,1.0957852956988057,40,40,40,2.173383333333336,140.70154664422645,-0.03945838948704772
2021-03-29,44.13216581893122,1.1033041454732806,40,40,40,2.173383333333336,140.4270609117566,0.006861608568747846
2021-03-30,44.41335090675344,1.110333772668836,40,40,40,2.173383333333336,139.55638546859697,0.006371431870710431
2021-03-31,44.5982244087088,1.11495561021772,40,40,40,2.6510499999999966,140.44712625835123,0.0041625659442698915
2021-04-01,44.01240000000001,1.1003100000000001,40,40,40,2.6510499999999966,143.4814705402669,-0.01313559937588904
2021-04-05,44.01240000000001,1.1003100000000001,40,40,40,2.6510499999999966,147.61378626180291,0.0
2021-04-06,44.01240000000001,1.1003100000000001,40,40,40,2.6510499999999966,147.2704876257278,0.0
2021-04-07,44.01240000000001,1.1003100000000001,40,40,40,2.6510499999999966,147.65632526378874,0.0
2021-04-08,44.01240000000001,1.1003100000000001,40,40,40,2.6510499999999966,148.8618811080023,0.0
2021-04-09,45.046433750000006,1.0986935060975611,41,41,41,2.6510499999999966,151.1293313330421,-0.0014691258849224287
2021-04-12,45.34995131734113,1.1060963735936862,41,41,41,2.6510499999999966,151.01143439732655,0.006737882271115936
2021-04-13,45.046433750000006,1.0986935060975611,41,41,41,2.6510499999999966,151.9990870481157,-0.006692787059841221
2021-04-14,45.34775041863403,1.1060426931374154,41,41,41,2.6510499999999966,150.64005089425777,0.006689023826087714
2021-04-15,45.046433750000006,1.0986935060975611,41,41,41,2.6510499999999966,154.0892035235317,-0.006644578084962993
2021-04-16,46.080467500000005,1.0971539880952381,42,42,42,2.6510499999999966,155.19850408892592,-0.001401226086965024
2021-04-19,46.374111128534246,1.104145503060339,42,42,42,2.6510499999999966,153.3664258912604,0.006372409926922673
2021-04-20,46.664627964987325,1.1110625705949364,42,42,42,2.6510499999999966,151.06183488494088,0.006264634068087416
2021-04-21,46.37795766792051,1.1042370873314407,42,42,42,2.6510499999999966,154.0329740098003,-0.006143203311979928
2021-04-22,46.66296164111052,1.111022896216917,42,42,42,2.6510499999999966,150.91937813260375,0.006145246309264385
2021-04-23,47.414197005125914,1.1026557443052538,43,43,43,2.6510499999999966,154.41516949889086,-0.007531034634978062
2021-04-26,47.41708412633665,1.1027228866589918,43,43,43,2.6510499999999966,154.91546470394704,6.089149227639368e-05
2021-04-27,47.416374714091816,1.1027063886998096,43,43,43,2.6510499999999966,154.79253410332805,-1.4961110703093361e-05
2021-04-28,47.41452818512027,1.1026634461655875,43,43,43,2.6510499999999966,154.4725580707903,-3.8942854292067786e-05
2021-04-29,47.11450125,1.0956860755813955,43,43,43,2.6510499999999966,156.52685730626237,-0.00632774271102865
2021-04-30,49.26352241034146,1.1196255093259422,44,44,44,3.1764833333333233,154.1961870829727,0.021848807133780346
2021-05-03,48.97074814454263,1.1129715487396052,44,44,44,3.1764833333333233,154.9402319047148,-0.005943023386759783
2021-05-04,49.540317907991636,1.125916316090719,44,44,44,3.1764833333333233,152.9410452703516,0.011630816048957549
2021-05-05,49.54287989091186,1.1259745429752697,44,44,44,3.1764833333333233,153.09095967720475,5.17151085905887e-05
2021-05-06,48.673968333333335,1.106226553030303,44,44,44,3.1764833333333233,155.38943432860893,-0.017538575865831407
2021-05-07,49.70800208333334,1.1046222685185187,45,45,45,3.1764833333333233,157.49094895706716,-0.0014502314262748728
2021-05-10,50.87650078652736,1.1305889063672747,45,45,45,3.1764833333333233,153.98630936055724,0.023507255456276077
2021-05-11,51.109652491302555,1.135770055362279,45,45,45,3.1764833333333233,151.12856814459647,0.004582699304605642
2021-05-12,50.91361280490503,1.1314136178867784,45,45,45,3.1764833333333233,144.2749725297129,-0.003835668544819093
2021-05-13,51.01744045144902,1.1337208989210894,45,45,45,3.1764833333333233,147.90481256942118,0.0020392904927382105
2021-05-14,51.87616494769314,1.1277427162541986,46,46,46,3.1764833333333233,152.47731411513107,-0.005273063831300884
2021-05-17,52.15832788272431,1.1338766931027024,46,46,46,3.1764833333333233,151.70757288622042,0.005439163348248233
2021-05-18,52.37526683314087,1.1385927572421928,46,46,46,3.1764833333333233,149.25160764345588,0.00415923897913939
2021-05-19,52.34533107260435,1.137941979839225,46,46,46,3.1764833333333233,148.38334428443198,-0.0005715629217105667
2021-05-20,52.145131344784254,1.133589811843136,46,46,46,3.1764833333333233,151.24696551967708,-0.0038245956939771952
2021-05-21,53.46871473098488,1.1376322283188272,47,47,47,3.1764833333333233,150.97486860813567,0.0035660310576701715
2021-05-24,52.93405695118642,1.1262565308763068,47,47,47,3.1764833333333233,153.52480965716936,-0.00999945075336972
2021-05-25,52.920009015711464,1.1259576386321588,47,47,47,3.1764833333333233,152.9080356846318,-0.000265385581307509
2021-05-26,52.930227285234906,1.1261750486220192,47,47,47,3.1764833333333233,153.35666834653907,0.0001930889603667385
2021-05-27,52.936159789923956,1.1263012721260417,47,47,47,3.1764833333333233,153.61713469696426,0.00011208160239117859
2021-05-28,54.5236358496423,1.135909080200881,48,48,48,3.749683333333316,153.77224265717442,0.008530406839285076
2021-06-01,54.81584549695305,1.141996781186522,48,48,48,3.749683333333316,153.5575942140143,0.0053593206461244325
2021-06-02,54.52795494643023,1.135999061383963,48,48,48,3.749683333333316,153.96512804602537,-0.005251958588120886
2021-06-03,54.79290591750426,1.1415188732813386,48,48,48,3.749683333333316,152.74180011634667,0.004858993361007702
2021-06-04,54.70446838749088,1.1164177221936913,49,49,49,3.749683333333316,155.50346597027612,-0.021989256310316785
