date,nav,vol_ret,close,hs300_ret,mom_scaled_05x,mom_scaled_1x,combined_05x,combined_1x,nav_05x,nav_1x
2019-12-25,1000.4690110305496,,3990.867,,,,,,1000.0,1000.0
2019-12-26,1000.4411906375716,-2.780735102370091e-05,4025.988,0.008800343384031573,-0.00022648696532788474,-0.0004529739306557695,-0.0002542943163515856,-0.0004807812816794704,999.7457056836485,999.5192187183205
2019-12-27,1000.8658155119748,0.00042443761650057255,4022.028,-0.0009836094891489955,-0.00045818949154615834,-0.0009163789830923167,-3.375187504558579e-05,-0.0004919413665917441,999.7119623915128,999.0275138679295
2019-12-30,999.9590482968712,-0.0009059828011408477,4081.633,0.014819638252145495,0.0002042540858032664,0.0004085081716065328,-0.0007017287153375814,-0.000497474629534315,999.0104358004361,998.5305230255735
2019-12-31,1000.47022255409,0.0005111951915326429,4096.582,0.0036625046886873402,-0.0004204812142984207,-0.0008409624285968414,9.071397723422222e-05,-0.0003297672370641985,999.101060010366,998.2012403738712
2020-01-02,999.985355738527,-0.0004846389274087981,4152.241,0.013586692515858312,9.814558168820013e-05,0.00019629116337640027,-0.000386493345720598,-0.00028834776403239784,998.7149140989696,997.913411278155
2020-01-03,1000.6931596223604,0.0007078142492504824,4144.965,-0.0017523067663942626,-0.0004518178808627063,-0.0009036357617254126,0.0002559963683877761,-0.00019582151247493022,998.9705814900336,997.7179983646395
2020-01-06,1001.3106389438764,0.0006170516062575793,4129.295,-0.0037804903057082617,-0.00041782068599031914,-0.0008356413719806383,0.00019923092026726013,-0.000218589765723059,999.1696073183037,997.4999074211192
2020-01-07,1001.8530256470824,0.000541676760548615,4160.227,0.007490867085059305,-0.00029111814544800714,-0.0005822362908960143,0.0002505586151006079,-4.055953034739926e-05,999.4199578713642,997.4594492933526
2020-01-08,1001.9442402918312,9.104593429754004e-05,4112.317,-0.011516198515129084,-5.932114745424804e-05,-0.00011864229490849608,3.1724786843292e-05,-2.7596360610956038e-05,999.4516642564946,997.431923042695
2020-01-09,1001.8602530121188,-8.382430512088312e-05,4164.37,0.012657827691785473,2.4290183610740022e-05,4.8580367221480044e-05,-5.95341215101431e-05,-3.524393789940308e-05,999.3921627796711,997.3967696139404
2020-01-10,1002.680558496131,0.000818782341694746,4163.185,-0.00028455684773431855,-0.0004608753133244956,-0.0009217506266489912,0.00035790702837025035,-0.00010296828495424525,999.7498522588281,997.2940693791543
